Entidade,Código,Ano,Conversão_líquida_de_floresta
Dominican Republic,DOM,2010,6110.000000000002
Ecuador,ECU,1990,-90170.0
Ecuador,ECU,2000,-70229.99999999999
Ecuador,ECU,2010,-41800.0
Ecuador,ECU,2015,-64269.99999999999
El Salvador,SLV,1990,-4500.0
El Salvador,SLV,2000,-4500.0
El Salvador,SLV,2010,-4500.0
El Salvador,SLV,2015,-4500.0
Equatorial Guinea,GNQ,2000,-8360.0
Equatorial Guinea,GNQ,2010,-8360.0
Equatorial Guinea,GNQ,2015,-8360.0
Estonia,EST,2000,9710.0
Estonia,EST,2010,17000.0
Estonia,EST,2015,3480.0000000000005
Ethiopia,ETH,2000,-73000.0
Ethiopia,ETH,2010,-73000.0
Ethiopia,ETH,2015,-73000.0
Falkland Islands,FLK,1990,0.0
Falkland Islands,FLK,2000,0.0
Falkland Islands,FLK,2010,0.0
Falkland Islands,FLK,2015,0.0
Faroe Islands,,1990,0.0
Faroe Islands,,2000,0.0
Faroe Islands,,2010,0.0
Faroe Islands,,2015,0.0
Finland,FIN,1990,57030.0
Finland,FIN,2000,-20360.0
Finland,FIN,2010,33400.0
French Guyana,,1990,-4560.0
French Guyana,,2000,-4290.0
French Guyana,,2010,-3300.0000000000005
French Guyana,,2015,-3430.0
Gabon,GAB,1990,-6110.0
Gabon,GAB,2000,-5060.000000000001
Gabon,GAB,2010,-11880.0
Gabon,GAB,2015,-11880.0
Georgia,GEO,2000,6180.0
Georgia,GEO,2010,0.0
Georgia,GEO,2015,0.0
Germany,DEU,1990,5400.0
Germany,DEU,2000,5500.0
Germany,DEU,2010,2000.0
Germany,DEU,2015,0.0
Gibraltar,GIB,1990,0.0
Gibraltar,GIB,2000,0.0
Gibraltar,GIB,2010,0.0
Gibraltar,GIB,2015,0.0
Greenland,GRL,1990,0.0
Greenland,GRL,2000,0.0
Greenland,GRL,2010,0.0
Greenland,GRL,2015,0.0
Guadeloupe,GLP,1990,-90.0
Guadeloupe,GLP,2000,-69.99999999999999
Guadeloupe,GLP,2010,130.0
Guadeloupe,GLP,2015,-60.0
Guatemala,GTM,1990,-57200.0
Guatemala,GTM,2000,-48660.0
Guatemala,GTM,2010,-27360.0
Guatemala,GTM,2015,-11600.0
Guinea,GIN,1990,-34700.0
Guyana,GUY,1990,-3790.0
Guyana,GUY,2000,-4440.0
Guyana,GUY,2010,-11690.0
Guyana,GUY,2015,-9200.0
Honduras,HND,1990,-20950.0
Honduras,HND,2000,-20280.0
Honduras,HND,2010,-22330.0
Honduras,HND,2015,-20910.0
Hungary,HUN,1990,10730.0
Hungary,HUN,2000,12520.0
Hungary,HUN,2010,2890.000000000001
Hungary,HUN,2015,-1560.0
Iceland,ISL,1990,1280.0
Iceland,ISL,2000,1480.0
Iceland,ISL,2010,700.0
Iceland,ISL,2015,640.0
India,IND,1990,365300.0
India,IND,2000,190500.0
India,IND,2010,266400.0
India,IND,2015,266400.0
Indonesia,IDN,1990,-1726500.0
Indonesia,IDN,2000,-162080.00000000003
Indonesia,IDN,2015,-578940.0
Iraq,IRQ,1990,1400.0
Iraq,IRQ,2000,700.0
Iraq,IRQ,2010,0.0
Iraq,IRQ,2015,0.0
Ireland,IRL,1990,16869.999999999993
Ireland,IRL,2000,9000.0
Ireland,IRL,2010,6860.0
Ireland,IRL,2015,5470.0
Isle of Man,IMN,1990,0.0
Isle of Man,IMN,2000,0.0
Isle of Man,IMN,2010,0.0
Isle of Man,IMN,2015,0.0
Italy,ITA,2010,53810.0
Jamaica,JAM,1990,-30.00000000000003
Jamaica,JAM,2000,3740.0
Jamaica,JAM,2010,3800.0
Jamaica,JAM,2015,3890.0
Kuwait,KWT,1990,140.0
Kuwait,KWT,2000,140.0
Kuwait,KWT,2010,0.0
Kuwait,KWT,2015,0.0
Kyrgyzstan,KGZ,2000,4880.0
Kyrgyzstan,KGZ,2010,4430.0
Kyrgyzstan,KGZ,2015,12710.0
Latvia,LVA,2000,13110.0
Latvia,LVA,2010,3860.0
Latvia,LVA,2015,3870.000000000001
Liberia,LBR,1990,-30260.0
Liberia,LBR,2000,-30260.0
Liberia,LBR,2010,-30260.0
Liberia,LBR,2015,-30260.0
Liechtenstein,LIE,1990,0.0
Liechtenstein,LIE,2000,0.0
Liechtenstein,LIE,2010,0.0
Liechtenstein,LIE,2015,0.0
Lithuania,LTU,2000,15000.0
Lithuania,LTU,2010,3400.0
Lithuania,LTU,2015,2800.0
Madagascar,MDG,1990,-66900.0
Malawi,MWI,1990,-42000.0
Malawi,MWI,2000,-42000.0
Malawi,MWI,2010,-42000.0
Malawi,MWI,2015,-42000.0
Maldives,MDV,1990,0.0
Maldives,MDV,2000,0.0
Maldives,MDV,2010,0.0
Maldives,MDV,2015,0.0
Mali,MLI,1990,-79000.0
Mali,MLI,2000,-79000.0
Mali,MLI,2010,-79000.0
Mali,MLI,2015,0.0
Martinique,MTQ,1990,90.00000000000001
Martinique,MTQ,2000,149.99999999999994
Martinique,MTQ,2010,200.0
Martinique,MTQ,2015,200.0
Mauritania,MRT,1990,-5439.999999999998
Mauritania,MRT,2000,-5439.999999999998
Mauritania,MRT,2010,-5439.999999999998
Mauritania,MRT,2015,-5450.000000000002
Mauritius,MUS,1990,90.00000000000001
Mauritius,MUS,2000,-350.0
Mauritius,MUS,2010,-20.000000000000004
Mauritius,MUS,2015,90.0
Mayotte,MYT,1990,-340.0
Mayotte,MYT,2000,-130.0
Mayotte,MYT,2010,-50.0
Mayotte,MYT,2015,-50.0
Mexico,MEX,1990,-221030.0
Mexico,MEX,2000,-143800.0
Mexico,MEX,2010,-122480.0
Mexico,MEX,2015,-127770.0
Moldova,MDA,2000,3010.0
Moldova,MDA,2010,2380.0
Moldova,MDA,2015,19.99999999999996
Monaco,MCO,1990,0.0
Monaco,MCO,2000,0.0
Monaco,MCO,2010,0.0
Monaco,MCO,2015,0.0
Mongolia,MNG,1990,-8810.0
Mongolia,MNG,2000,-8000.0
Mongolia,MNG,2010,-1110.0
Mongolia,MNG,2015,-1110.0
Montenegro,MNE,2010,0.0
Montenegro,MNE,2015,0.0
Morocco,MAR,1990,2120.0
Morocco,MAR,2000,16799.999999999993
Morocco,MAR,2010,2020.0
Morocco,MAR,2015,11560.0
Mozambique,MOZ,1990,-219000.0
Mozambique,MOZ,2000,-221590.0
Mozambique,MOZ,2010,-206430.0
Mozambique,MOZ,2015,-239250.0
Myanmar,MMR,1990,-435000.0
Myanmar,MMR,2000,-342700.0
Myanmar,MMR,2010,-289710.0
Myanmar,MMR,2015,-289710.0000000001
Nauru,NRU,1990,0.0
Nauru,NRU,2000,0.0
Nauru,NRU,2010,0.0
Nauru,NRU,2015,0.0
Nepal,NPL,1990,10880.0
Nepal,NPL,2000,18130.0
Nepal,NPL,2010,0.0
Nepal,NPL,2015,0.0
Netherlands,NLD,1990,1420.0000000000002
Netherlands,NLD,2000,1400.0
Netherlands,NLD,2010,-1729.9999999999995
Netherlands,NLD,2015,930.0
New Zealand,NZL,1990,47819.99999999999
New Zealand,NZL,2000,-230.00000000000043
New Zealand,NZL,2010,-299.99999999999886
New Zealand,NZL,2015,9200.0
Nicaragua,NIC,1990,-100000.0
Nicaragua,NIC,2000,-121120.0
Nicaragua,NIC,2010,-56120.0
Nicaragua,NIC,2015,-100000.0
Niger,NER,1990,-61690.0
Niger,NER,2000,-12420.0
Niger,NER,2010,-12420.0
Niger,NER,2015,-12420.0
Nigeria,NGA,1990,-163300.0
Nigeria,NGA,2000,-163310.0
Nigeria,NGA,2010,-163310.0
Nigeria,NGA,2015,-163300.0
North Korea,PRK,1990,-45730.0
North Korea,PRK,2000,-21230.0
North Korea,PRK,2010,-21230.0
North Korea,PRK,2015,-21230.0
Norway,NOR,1990,-1900.0
Norway,NOR,2000,-1099.9999999999995
Norway,NOR,2010,7799.999999999999
Norway,NOR,2015,7799.999999999999
Panama,PAN,1990,-16530.0
Panama,PAN,2000,-11420.0
Panama,PAN,2010,-11420.0
Panama,PAN,2015,-11410.0
Papua New Guinea,PNG,1990,-12170.0
Papua New Guinea,PNG,2000,-9910.0
Papua New Guinea,PNG,2010,-30900.0
Papua New Guinea,PNG,2015,-33530.0
Paraguay,PRY,1990,-255420.0
Paraguay,PRY,2000,-342140.0
Paraguay,PRY,2010,-414250.0
Paraguay,PRY,2015,-279340.0
Peru,PER,1990,-115070.0
Peru,PER,2000,-124800.0
Peru,PER,2010,-171050.0
Peru,PER,2015,-172830.0
Poland,POL,1990,17700.0
Poland,POL,2000,27000.0
Poland,POL,2010,18200.0
Poland,POL,2015,12600.0
Portugal,PRT,2010,12000.0
Qatar,QAT,1990,0.0
Qatar,QAT,2000,0.0
Qatar,QAT,2010,0.0
Qatar,QAT,2015,0.0
Romania,ROU,2000,14900.0
Romania,ROU,2010,69200.0
Romania,ROU,2015,13610.0
Russia,RUS,2000,586710.0
Russia,RUS,2010,-41030.0
Russia,RUS,2015,76230.0
San Marino,SMR,1990,0.0
San Marino,SMR,2000,0.0
San Marino,SMR,2010,0.0
San Marino,SMR,2015,0.0
Sao Tome and Principe,STP,1990,-30.0
Sao Tome and Principe,STP,2000,-30.0
Sao Tome and Principe,STP,2010,-620.0
Sao Tome and Principe,STP,2015,-620.0
Senegal,SEN,2010,-40000.0
Senegal,SEN,2015,-40000.0
Serbia,SRB,2010,1309.9999999999998
Serbia,SRB,2015,620.0
Singapore,SGP,1990,220.0
Singapore,SGP,2000,69.99999999999999
Singapore,SGP,2010,-250.0
Singapore,SGP,2015,-180.0
Slovenia,SVN,2000,1400.0
Slovenia,SVN,2010,200.0
Slovenia,SVN,2015,-2030.0
Somalia,SOM,1990,-76750.0
Somalia,SOM,2000,-76750.0
Somalia,SOM,2010,-76750.0
Somalia,SOM,2015,-76750.0
South Africa,ZAF,1990,-36399.99999999998
South Africa,ZAF,2000,-36399.99999999998
South Africa,ZAF,2010,-36400.000000000015
South Africa,ZAF,2015,-36400.000000000015
South Korea,KOR,1990,-7500.0
South Korea,KOR,2000,-8900.0
South Korea,KOR,2010,-10000.0
South Korea,KOR,2015,-10000.0
Spain,ESP,2000,145140.0
Spain,ESP,2010,1170.0
Spain,ESP,2015,4200.0
Sudan,SDN,2015,-170079.99999999994
Suriname,SUR,1990,-3680.0
Suriname,SUR,2000,-4100.000000000001
Suriname,SUR,2010,-9640.0
Suriname,SUR,2015,-11080.0
Sweden,SWE,1990,9999.999999999998
Sweden,SWE,2000,-9000.0
Sweden,SWE,2010,-18600.0
Sweden,SWE,2015,0.0
Switzerland,CHE,1990,4270.0
Switzerland,CHE,2000,3850.000000000001
Switzerland,CHE,2010,3440.0000000000005
Switzerland,CHE,2015,3440.0000000000005
Syria,SYR,1990,6000.0
Syria,SYR,2000,4869.999999999997
Syria,SYR,2010,3550.000000000001
Tanzania,TZA,1990,-372000.0
Tanzania,TZA,2000,-372000.0
Tanzania,TZA,2010,-372000.0
Tanzania,TZA,2015,-469000.0
Thailand,THA,1990,-36300.0
Thailand,THA,2000,107500.0
Thailand,THA,2010,-2400.000000000005
Thailand,THA,2015,-37600.0
Togo,TGO,1990,-9320.0
Togo,TGO,2000,-2960.0
Togo,TGO,2010,-2960.0
Togo,TGO,2015,-2960.0
Tokelau,TKL,1990,0.0
Tokelau,TKL,2000,0.0
Tokelau,TKL,2010,0.0
Tokelau,TKL,2015,0.0
Tunisia,TUN,1990,2390.0
Tunisia,TUN,2000,1960.0
Tunisia,TUN,2010,1530.0000000000002
Tunisia,TUN,2015,1530.0000000000002
Turkey,TUR,1990,36490.0
Turkey,TUR,2000,93470.0
Turkey,TUR,2010,109440.0
Turkey,TUR,2015,118010.0
Uganda,UGA,1990,-41250.0
Uganda,UGA,2000,-41250.0
Uganda,UGA,2010,-41250.0
Uganda,UGA,2015,-41250.0
Ukraine,UKR,2000,3800.0
Ukraine,UKR,2010,21800.0
Ukraine,UKR,2015,6600.000000000001
United Kingdom,GBR,2000,10500.0
United Kingdom,GBR,2010,19200.0
United States,USA,1990,108600.0
United States,USA,2000,518400.0
United States,USA,2010,275000.0
Uruguay,URY,2000,36230.0
Uruguay,URY,2010,37740.0
Uzbekistan,UZB,2000,38810.0
Uzbekistan,UZB,2010,39960.0
Uzbekistan,UZB,2015,28050.000000000004
Vatican,VAT,1990,0.0
Vatican,VAT,2000,0.0
Vatican,VAT,2010,0.0
Vatican,VAT,2015,0.0
Venezuela,VEN,1990,-287500.0
Venezuela,VEN,2000,-164600.00000000006
Venezuela,VEN,2010,-164400.0
Venezuela,VEN,2015,-90420.0
Vietnam,VNM,1990,240810.0
Vietnam,VNM,2000,160400.0
Vietnam,VNM,2010,134760.0
Vietnam,VNM,2015,116250.0
World,OWID_WRL,1990,-7818000.0
World,OWID_WRL,2000,-5117000.0
World,OWID_WRL,2010,-4801000.0
World,OWID_WRL,2015,-5150000.0
Zambia,ZMB,2000,-35800.0
Zambia,ZMB,2010,-188180.0
Zambia,ZMB,2015,-188210.0
Zimbabwe,ZWE,1990,-46070.0
Zimbabwe,ZWE,2000,-46070.0
Zimbabwe,ZWE,2010,-46070.0
Zimbabwe,ZWE,2015,-46070.0
